Fecha,n_titulares,cultura,deporte,economia,medioambiente,politica,sociedad
2017-01-01,1451,155.0,434.0,89.0,148.0,315.0,310.0
2017-02-01,1415,171.0,403.0,88.0,125.0,375.0,253.0
2017-03-01,1666,159.0,472.0,109.0,205.0,371.0,350.0
2017-04-01,1293,129.0,364.0,83.0,191.0,316.0,210.0
2017-05-01,1789,175.0,513.0,87.0,240.0,441.0,333.0
2017-06-01,1725,193.0,416.0,93.0,254.0,462.0,307.0
2017-07-01,1667,183.0,421.0,97.0,287.0,393.0,286.0
2017-08-01,1483,200.0,418.0,83.0,262.0,271.0,249.0
2017-09-01,1742,189.0,484.0,99.0,201.0,434.0,335.0
2017-10-01,1986,182.0,537.0,104.0,272.0,537.0,354.0
2017-11-01,1807,99.0,432.0,122.0,196.0,538.0,420.0
2017-12-01,1494,181.0,457.0,90.0,164.0,303.0,299.0
2018-01-01,1652,219.0,478.0,98.0,179.0,338.0,340.0
2018-02-01,1586,164.0,424.0,120.0,166.0,414.0,298.0
2018-03-01,1955,203.0,498.0,134.0,266.0,427.0,427.0
2018-04-01,1886,223.0,491.0,111.0,232.0,496.0,333.0
2018-05-01,1965,230.0,500.0,115.0,232.0,516.0,372.0
2018-06-01,1890,176.0,500.0,111.0,207.0,526.0,370.0
2018-07-01,1985,166.0,474.0,140.0,276.0,586.0,343.0
2018-08-01,1833,204.0,494.0,97.0,366.0,327.0,345.0
2018-09-01,1942,162.0,541.0,137.0,213.0,477.0,412.0
2018-10-01,2373,213.0,654.0,132.0,296.0,628.0,450.0
2018-11-01,2178,236.0,552.0,139.0,278.0,541.0,432.0
2018-12-01,1932,181.0,509.0,123.0,176.0,546.0,397.0
2019-01-01,2008,182.0,539.0,162.0,232.0,530.0,363.0
2019-02-01,1933,222.0,411.0,144.0,169.0,638.0,349.0
2019-03-01,2327,210.0,560.0,165.0,280.0,691.0,421.0
2019-04-01,2210,240.0,481.0,140.0,297.0,672.0,380.0
2019-05-01,2405,240.0,615.0,200.0,300.0,661.0,389.0
2019-06-01,2325,230.0,566.0,143.0,324.0,678.0,384.0
2019-07-01,2195,235.0,474.0,179.0,295.0,645.0,367.0
2019-08-01,1979,213.0,520.0,128.0,349.0,428.0,341.0
2019-09-01,2315,179.0,598.0,211.0,299.0,616.0,412.0
2019-10-01,2386,193.0,629.0,168.0,239.0,713.0,444.0
2019-11-01,2197,217.0,522.0,178.0,276.0,615.0,389.0
2019-12-01,1892,213.0,438.0,167.0,274.0,461.0,339.0
2020-01-01,1857,198.0,417.0,150.0,234.0,513.0,345.0
2020-02-01,1885,194.0,451.0,187.0,200.0,498.0,355.0
2020-03-01,2194,149.0,531.0,180.0,367.0,505.0,462.0
2020-04-01,2319,217.0,560.0,228.0,417.0,480.0,417.0
2020-05-01,2335,214.0,565.0,190.0,386.0,583.0,397.0
2020-06-01,2347,163.0,550.0,173.0,416.0,634.0,411.0
2020-07-01,1969,160.0,438.0,201.0,401.0,434.0,335.0
2020-08-01,1875,187.0,444.0,156.0,452.0,330.0,306.0
2020-09-01,2075,187.0,471.0,210.0,356.0,414.0,437.0
2020-10-01,2287,156.0,514.0,223.0,377.0,614.0,403.0
2020-11-01,2058,167.0,529.0,191.0,347.0,435.0,389.0
2020-12-01,1869,179.0,463.0,170.0,317.0,422.0,318.0
2021-01-01,1998,152.0,482.0,205.0,374.0,411.0,374.0
2021-02-01,2004,186.0,419.0,213.0,254.0,555.0,377.0
2021-03-01,2325,209.0,546.0,236.0,284.0,571.0,479.0
2021-04-01,2182,194.0,484.0,244.0,286.0,563.0,411.0
2021-05-01,2405,190.0,569.0,289.0,333.0,609.0,415.0
2021-06-01,2459,181.0,550.0,263.0,325.0,671.0,469.0
2021-07-01,2346,204.0,485.0,262.0,392.0,631.0,372.0
2021-08-01,2042,213.0,439.0,265.0,396.0,346.0,383.0
2021-09-01,2394,163.0,576.0,304.0,335.0,614.0,402.0
2021-10-01,2464,206.0,678.0,264.0,274.0,617.0,425.0
2021-11-01,2254,213.0,527.0,258.0,306.0,507.0,443.0
2021-12-01,2179,131.0,515.0,294.0,356.0,452.0,431.0
2022-01-01,2037,175.0,477.0,256.0,342.0,456.0,331.0
2022-02-01,2030,183.0,459.0,184.0,246.0,579.0,379.0
2022-03-01,2304,180.0,584.0,265.0,265.0,564.0,446.0
2022-04-01,2079,154.0,507.0,237.0,307.0,465.0,409.0
2022-05-01,2475,157.0,580.0,275.0,337.0,613.0,513.0
2022-06-01,2384,153.0,507.0,227.0,385.0,704.0,408.0
2022-07-01,2368,156.0,474.0,261.0,472.0,655.0,350.0
2022-08-01,2142,172.0,487.0,210.0,536.0,370.0,367.0
2022-09-01,2608,160.0,622.0,289.0,391.0,680.0,466.0
2022-10-01,2684,177.0,611.0,260.0,346.0,724.0,566.0
2022-11-01,2637,188.0,728.0,234.0,354.0,591.0,542.0
2022-12-01,2021,163.0,483.0,220.0,252.0,496.0,407.0
2023-01-01,2151,229.0,476.0,230.0,272.0,555.0,389.0
2023-02-01,2083,130.0,462.0,255.0,216.0,630.0,390.0
2023-03-01,2520,206.0,512.0,286.0,279.0,761.0,476.0
2023-04-01,2230,201.0,468.0,199.0,325.0,683.0,354.0
2023-05-01,2550,230.0,581.0,253.0,301.0,783.0,402.0
2023-06-01,2715,197.0,551.0,266.0,331.0,933.0,437.0
2023-07-01,2371,177.0,521.0,250.0,334.0,861.0,228.0
2023-08-01,1993,198.0,541.0,221.0,414.0,546.0,73.0
2023-09-01,2402,225.0,663.0,293.0,351.0,791.0,79.0
2023-10-01,2353,207.0,632.0,316.0,385.0,717.0,96.0
2023-11-01,2221,215.0,693.0,236.0,327.0,687.0,63.0
2023-12-01,1522,187.0,407.0,221.0,205.0,431.0,71.0
